Docker for Developers	Docker is here to stay, and is becoming one of the most in-demand technologies on the market. Mastering it now will help you produce better software, level up your career, and stand out from the crowd. Get started today.	2021	https://www.educative.io/verify-certificate/8q5JgjuPEq7novVLlT9VNXoONyLVug	Educative Course Certificates: Miscellaneous
Secure Coding Practices in C++: A Deep Dive into const	In this course, you will learn about the C++ keyword const and its behaviour under different usage conditions, including local, global and static contexts. This course will help you to understand const and its implications when you attempt to return pointers and references in C++. By the end of the course, you will have a solid grip on const and its usage in preventing any accidental change of data.	2022	https://www.educative.io/verify-certificate/585DM2tp9RGWoxK01U935DxW5Aq3uq	Educative Course Certificates: Programming Strategies
Learn Functional Programming in Python	The functional programming paradigm can be a powerful tool, especially as it can be integrated seamlessly with procedural and object-oriented code in Python.	2021	https://www.educative.io/verify-certificate/NxqvGMSPxXEqpAj2VH8xnErJn7vxF2	Educative Course Certificates: Functional Programming
Learn Functional Programming with Elixir	Elixir is a functional programming language that runs in the Erlang VM, a powerful environment to run distributed systems. This course uses Elixir because of its fun syntax, vibrant community, and production-ready tooling. Elixir syntax lets you focus on what’s important while learning functional programming.	2022	https://www.educative.io/verify-certificate/GZjlABC0JW0p6x2J0CWMgZkjgP6MSm	Educative Course Certificates: Programming Strategies
Learn Scala from Scratch	Learn how to program in Scala, one of the most popular programming languages in the world right now -- not just amongst developers, but even amongst massive companies like Twitter and LinkedIn.	2021	https://www.educative.io/verify-certificate/zmG3AWTxR8ENEnG3qH7nkyoOkxvnf7	Educative Course Certificates: Programming Languages
Metaprogramming in Elixir	Get introduced to the concept of metaprogramming. Learn how to level up your programming skills by discovering the full potential of the macro system in Elixir. Understand the ins and outs of metaprogramming at a fundamental level and write incredible libraries by doing more with less code.	2021	https://www.educative.io/verify-certificate/LgoqGKFmXm3RXGVRWh54l2j6lk04hD	Educative Course Certificates: Miscellaneous
Functional Programming with ReasonML	This course describes all the significant changes in C++17 and will give you the essential knowledge to stay at the edge of the latest features. What’s more, each section contains lots of practical examples and uses a bottom-up approach to give you a more comfortable start. If you have a moderate understanding of C++, this course is highly recommended as the next step in mastering the modern form of this language.	2021	https://www.educative.io/verify-certificate/0g6xMWF4g0yZ0WnVKf9Rk1OnkBgRuP	Educative Course Certificates: Programming Languages
Learn Object-Oriented Programming in JavaScript	Learn to write cleaner, more modular, and more scalable code in JavaScript by gaining mastery of Object Oriented Programming (OOP).	2021	https://www.educative.io/verify-certificate/P1vxGOtZ7q35WYpMvSWJ4X674VgJSl	Educative Course Certificates: Programming Languages
C++17 in Detail: A Deep Dive	ReasonML has been skyrocketing in popularity lately, and for good... reason. Very recently developed by Facebook, it provides users a strong-typed, clean, and efficient syntax for JavaScript, which makes it great for web development.	2021	https://www.educative.io/verify-certificate/O7rwGNTw4z5wWD9q9uwN0DP30RMNuB	Educative Course Certificates: Programming Languages
An Introduction to Programming in Go	As Moore’s Law is reaching the end of its lifecycle, the need for concurrency is rising and consequently, the need for a programming language that enables effective implementation of concurrent programs is rising too. For this reason, Go has become one of the most popular languages in recent times. This course aims to provide a detailed introduction to Go for beginners. Furthermore, it also articulates how Go is different from traditional programming languages that programmers are accustomed to in order to acquaint programmers getting ready to delve into Go with the language too.	2021	https://www.educative.io/verify-certificate/0g6xMWFYGjgN09RWJT9Rk1OnkBgRuP	Educative Course Certificates: Programming Languages
